Deduped.author.names,Author.Keywords
"Ziemkiewicz, C.",Visualization
"Ziemkiewicz, C.",Spatial Ability
"Ziemkiewicz, C.",Individual Differences
"Taylor, H.A.",Bayesian Reasoning
"Taylor, H.A.",Visualization
"Taylor, H.A.",Spatial Ability
"Taylor, H.A.",Individual Differences
"Han, P.K.J.",Bayesian Reasoning
"Han, P.K.J.",Visualization
"Han, P.K.J.",Spatial Ability
"Han, P.K.J.",Individual Differences
"Chang, R.",Bayesian Reasoning
"Chang, R.",Visualization
"Chang, R.",Spatial Ability
"Chang, R.",Individual Differences
"Brehmer, M.",Design study
"Brehmer, M.",design methodologies
"Brehmer, M.",time series data
"Brehmer, M.",task and requirements analysis
"Brehmer, M.",coordinated and multiple views
"Ng, J.",Design study
"Ng, J.",design methodologies
"Ng, J.",time series data
"Ng, J.",task and requirements analysis
"Ng, J.",coordinated and multiple views
"Tate, K.",Design study
"Tate, K.",design methodologies
"Tate, K.",time series data
"Tate, K.",task and requirements analysis
"Tate, K.",coordinated and multiple views
"Munzner, T.",Design study
"Munzner, T.",design methodologies
"Munzner, T.",time series data
"Munzner, T.",task and requirements analysis
"Munzner, T.",coordinated and multiple views
"Albo, Y.",Visualization evaluation
"Albo, Y.",radial layout design
"Albo, Y.",composite indicator visualization
"Albo, Y.",experiment
"Lanir, J.",Visualization evaluation
"Lanir, J.",radial layout design
"Lanir, J.",composite indicator visualization
"Lanir, J.",experiment
"Bak, P.",Visualization evaluation
"Bak, P.",radial layout design
"Bak, P.",composite indicator visualization
"Bak, P.",experiment
"Rafaeli, S.",Visualization evaluation
"Rafaeli, S.",radial layout design
"Rafaeli, S.",composite indicator visualization
"Rafaeli, S.",experiment
"Lehmann, D.J.",Multivariate Projections
"Lehmann, D.J.",Star Coordinates
"Lehmann, D.J.",Radial Visualization
"Lehmann, D.J.",High-dimensional Data
"Theisel, H.",Multivariate Projections
"Theisel, H.",Star Coordinates
"Theisel, H.",Radial Visualization
"Theisel, H.",High-dimensional Data
"Raidou, R.G.",Parallel Coordinates
"Raidou, R.G.",Orientation-enhanced Parallel Coordinates
"Raidou, R.G.",Brushing
"Raidou, R.G.",Orientation-enhanced Brushing
"Raidou, R.G.",Data Readability
"Raidou, R.G.",Data Selection
"Eisemann, M.",Parallel Coordinates
"Eisemann, M.",Orientation-enhanced Parallel Coordinates
"Eisemann, M.",Brushing
"Eisemann, M.",Orientation-enhanced Brushing
"Eisemann, M.",Data Readability
"Eisemann, M.",Data Selection
"Breeuwer, M.",Parallel Coordinates
"Breeuwer, M.",Orientation-enhanced Parallel Coordinates
"Breeuwer, M.",Brushing
"Breeuwer, M.",Orientation-enhanced Brushing
"Breeuwer, M.",Data Readability
"Breeuwer, M.",Data Selection
"Eisemann, E.",Parallel Coordinates
"Eisemann, E.",Orientation-enhanced Parallel Coordinates
"Eisemann, E.",Brushing
"Eisemann, E.",Orientation-enhanced Brushing
"Eisemann, E.",Data Readability
"Eisemann, E.",Data Selection
"Vilanova, A.",Parallel Coordinates
"Vilanova, A.",Orientation-enhanced Parallel Coordinates
"Vilanova, A.",Brushing
"Vilanova, A.",Orientation-enhanced Brushing
"Vilanova, A.",Data Readability
"Vilanova, A.",Data Selection
"McCurdy, N.",Visualization in the humanities
"McCurdy, N.",design studies
"McCurdy, N.",text and document data
"McCurdy, N.",graph/network data
"Lein, J.",Visualization in the humanities
"Lein, J.",design studies
"Lein, J.",text and document data
"Lein, J.",graph/network data
"Coles, K.",Visualization in the humanities
"Coles, K.",design studies
"Coles, K.",text and document data
"Coles, K.",graph/network data
"Meyer, M.",Visualization in the humanities
"Meyer, M.",design studies
"Meyer, M.",text and document data
"Meyer, M.",graph/network data
"Stahnke, J.",Information visualization
"Stahnke, J.",interactivity
"Stahnke, J.",dimensionality reduction
"Stahnke, J.",multidimensional scaling
"DÃ¶rk, M.",Information visualization
"DÃ¶rk, M.",interactivity
"DÃ¶rk, M.",dimensionality reduction
"DÃ¶rk, M.",multidimensional scaling
"MÃ¼ller, B.",Information visualization
"MÃ¼ller, B.",interactivity
"MÃ¼ller, B.",dimensionality reduction
"MÃ¼ller, B.",multidimensional scaling
"Thom, A.",Information visualization
"Thom, A.",interactivity
"Thom, A.",dimensionality reduction
"Thom, A.",multidimensional scaling
"Satyanarayan, A.",Information visualization
"Satyanarayan, A.",systems
"Satyanarayan, A.",toolkits
"Satyanarayan, A.",declarative specification
"Satyanarayan, A.",optimization
"Satyanarayan, A.",interaction
"Satyanarayan, A.",streaming data
"Russell, R.",Information visualization
"Russell, R.",systems
"Russell, R.",toolkits
"Russell, R.",declarative specification
"Russell, R.",optimization
"Russell, R.",interaction
"Russell, R.",streaming data
"Hoffswell, J.",Information visualization
"Hoffswell, J.",systems
"Hoffswell, J.",toolkits
"Hoffswell, J.",declarative specification
"Hoffswell, J.",optimization
"Hoffswell, J.",interaction
"Hoffswell, J.",streaming data
"Heer, J.",Information visualization
"Heer, J.",systems
"Heer, J.",toolkits
"Heer, J.",declarative specification
"Heer, J.",optimization
"Heer, J.",interaction
"Heer, J.",streaming data
"CohÃ©, A.",Fisheye
"CohÃ©, A.",vector-scaling
"CohÃ©, A.",content-aware
"CohÃ©, A.",network schematics
"CohÃ©, A.",interactive zoom
"CohÃ©, A.",navigation
"CohÃ©, A.",information visualization
"Liutkus, B.",Fisheye
"Liutkus, B.",vector-scaling
"Liutkus, B.",content-aware
"Liutkus, B.",network schematics
"Liutkus, B.",interactive zoom
"Liutkus, B.",navigation
"Liutkus, B.",information visualization
"Bailly, G.",Fisheye
"Bailly, G.",vector-scaling
"Bailly, G.",content-aware
"Bailly, G.",network schematics
"Bailly, G.",interactive zoom
"Bailly, G.",navigation
"Bailly, G.",information visualization
"Eagan, J.",Fisheye
"Eagan, J.",vector-scaling
"Eagan, J.",content-aware
"Eagan, J.",network schematics
"Eagan, J.",interactive zoom
"Eagan, J.",navigation
"Eagan, J.",information visualization
"Lecolinet, E.",Fisheye
"Lecolinet, E.",vector-scaling
"Lecolinet, E.",content-aware
"Lecolinet, E.",network schematics
"Lecolinet, E.",interactive zoom
"Lecolinet, E.",navigation
"Lecolinet, E.",information visualization
"Roberts, J.C.",Lo-fidelity prototyping
"Roberts, J.C.",User-centred design
"Roberts, J.C.",Sketching for visualization
"Roberts, J.C.",Ideation
"Headleand, C.",Lo-fidelity prototyping
"Headleand, C.",User-centred design
"Headleand, C.",Sketching for visualization
"Headleand, C.",Ideation
"Ritsos, P.D.",Lo-fidelity prototyping
"Ritsos, P.D.",User-centred design
"Ritsos, P.D.",Sketching for visualization
"Ritsos, P.D.",Ideation
"VanderPlas, S.",Data visualization
"VanderPlas, S.",Perception
"VanderPlas, S.",Statistical graphics
"VanderPlas, S.",Statistical computing
"Hofmann, H.",Data visualization
"Hofmann, H.",Perception
"Hofmann, H.",Statistical graphics
"Hofmann, H.",Statistical computing
"Hinrichs, U.",Digital Humanities
"Hinrichs, U.",Interlinked Visualization
"Hinrichs, U.",Literary Studies
"Hinrichs, U.",Cultural Collections
"Hinrichs, U.",Science Fiction
"Forlini, S.",Digital Humanities
"Forlini, S.",Interlinked Visualization
"Forlini, S.",Literary Studies
"Forlini, S.",Cultural Collections
"Forlini, S.",Science Fiction
"Moynihan, B.",Digital Humanities
"Moynihan, B.",Interlinked Visualization
"Moynihan, B.",Literary Studies
"Moynihan, B.",Cultural Collections
"Moynihan, B.",Science Fiction
"Boy, J.",Suggested interactivity
"Boy, J.",perceived affordances
"Boy, J.",information visualization for the people
"Boy, J.",online visualization
"Eveillard, L.",Suggested interactivity
"Eveillard, L.",perceived affordances
"Eveillard, L.",information visualization for the people
"Eveillard, L.",online visualization
"Detienne, F.",Suggested interactivity
"Detienne, F.",perceived affordances
"Detienne, F.",information visualization for the people
"Detienne, F.",online visualization
"Fekete, J.",Suggested interactivity
"Fekete, J.",perceived affordances
"Fekete, J.",information visualization for the people
"Fekete, J.",online visualization
"Bach, B.",Temporal data visualization
"Bach, B.",information visualization
"Bach, B.",multidimensional scaling
Conglei Shi,Temporal data visualization
Conglei Shi,information visualization
Conglei Shi,multidimensional scaling
"Heulot, N.",Temporal data visualization
"Heulot, N.",information visualization
"Heulot, N.",multidimensional scaling
"Madhyastha, T.",Temporal data visualization
"Madhyastha, T.",information visualization
"Madhyastha, T.",multidimensional scaling
"Grabowski, T.",Temporal data visualization
"Grabowski, T.",information visualization
"Grabowski, T.",multidimensional scaling
"Dragicevic, P.",Temporal data visualization
"Dragicevic, P.",information visualization
"Dragicevic, P.",multidimensional scaling
"Walker, J.",Time-series Exploration
"Walker, J.",Focus+Context
"Walker, J.",Lens
"Walker, J.",Interaction Techniques
"Borgo, R.",Time-series Exploration
"Borgo, R.",Focus+Context
"Borgo, R.",Lens
"Borgo, R.",Interaction Techniques
"Jones, M.W.",Time-series Exploration
"Jones, M.W.",Focus+Context
"Jones, M.W.",Lens
"Jones, M.W.",Interaction Techniques
"Loorak, M.H.",Multi-dimensional data
"Loorak, M.H.",Temporal event sequences
"Loorak, M.H.",Electronic health records
"Perin, C.",Multi-dimensional data
"Perin, C.",Temporal event sequences
"Perin, C.",Electronic health records
"Kamal, N.",Multi-dimensional data
"Kamal, N.",Temporal event sequences
"Kamal, N.",Electronic health records
"Hill, M.",Multi-dimensional data
"Hill, M.",Temporal event sequences
"Hill, M.",Electronic health records
"Carpendale, S.",Multi-dimensional data
"Carpendale, S.",Temporal event sequences
"Carpendale, S.",Electronic health records
"Strobelt, H.",Biology visualization
"Strobelt, H.",protein isoforms
"Strobelt, H.",mRNA-seq
"Strobelt, H.",directed acyclic graphs
"Strobelt, H.",multivariate networks
"Alsallakh, B.",Biology visualization
"Alsallakh, B.",protein isoforms
"Alsallakh, B.",mRNA-seq
"Alsallakh, B.",directed acyclic graphs
"Alsallakh, B.",multivariate networks
"Botros, J.",Biology visualization
"Botros, J.",protein isoforms
"Botros, J.",mRNA-seq
"Botros, J.",directed acyclic graphs
"Botros, J.",multivariate networks
"Peterson, B.",Biology visualization
"Peterson, B.",protein isoforms
"Peterson, B.",mRNA-seq
"Peterson, B.",directed acyclic graphs
"Peterson, B.",multivariate networks
"Borowsky, M.",Biology visualization
"Borowsky, M.",protein isoforms
"Borowsky, M.",mRNA-seq
"Borowsky, M.",directed acyclic graphs
"Borowsky, M.",multivariate networks
"Pfister, H.",Biology visualization
"Pfister, H.",protein isoforms
"Pfister, H.",mRNA-seq
"Pfister, H.",directed acyclic graphs
"Pfister, H.",multivariate networks
"Lex, A.",Biology visualization
"Lex, A.",protein isoforms
"Lex, A.",mRNA-seq
"Lex, A.",directed acyclic graphs
"Lex, A.",multivariate networks
"Gschwandtner, T.",Uncertainty
"Gschwandtner, T.",temporal intervals
"Gschwandtner, T.",visualization
"BÃ¶gl, M.",Uncertainty
"BÃ¶gl, M.",temporal intervals
"BÃ¶gl, M.",visualization
"Federico, P.",Uncertainty
"Federico, P.",temporal intervals
"Federico, P.",visualization
"Miksch, S.",Uncertainty
"Miksch, S.",temporal intervals
"Miksch, S.",visualization
"Thudt, A.",Visual Memento
"Thudt, A.",Memories
"Thudt, A.",Personal Visualization
"Thudt, A.",Movement Data
"Thudt, A.",World Wide Web
"Baur, D.",Visual Memento
"Baur, D.",Memories
"Baur, D.",Personal Visualization
"Baur, D.",Movement Data
"Baur, D.",World Wide Web
"Huron, S.",Visual Memento
"Huron, S.",Memories
"Huron, S.",Personal Visualization
"Huron, S.",Movement Data
"Huron, S.",World Wide Web
"Carpendale, S.",Visual Memento
"Carpendale, S.",Memories
"Carpendale, S.",Personal Visualization
"Carpendale, S.",Movement Data
"Carpendale, S.",World Wide Web
"Scheepens, R.",Moving Object Visualization
"Scheepens, R.",traffic flows
"Scheepens, R.",interaction
"Hurter, C.",Moving Object Visualization
"Hurter, C.",traffic flows
"Hurter, C.",interaction
"van de Wetering, H.",Moving Object Visualization
"van de Wetering, H.",traffic flows
"van de Wetering, H.",interaction
"van Wijk, J.J.",Moving Object Visualization
"van Wijk, J.J.",traffic flows
"van Wijk, J.J.",interaction
"Goodwin, S.",Scale
"Goodwin, S.",Geography
"Goodwin, S.",Multivariate
"Goodwin, S.",Sensitivity Analysis
"Goodwin, S.",Variable Selection
"Goodwin, S.",Local Statistics
"Goodwin, S.",Geodemographics
"Goodwin, S.",Energy
"Dykes, J.",Scale
"Dykes, J.",Geography
"Dykes, J.",Multivariate
"Dykes, J.",Sensitivity Analysis
"Dykes, J.",Variable Selection
"Dykes, J.",Local Statistics
"Dykes, J.",Geodemographics
"Dykes, J.",Energy
"Slingsby, A.",Scale
"Slingsby, A.",Geography
"Slingsby, A.",Multivariate
"Slingsby, A.",Sensitivity Analysis
"Slingsby, A.",Variable Selection
"Slingsby, A.",Local Statistics
"Slingsby, A.",Geodemographics
"Slingsby, A.",Energy
"Turkay, C.",Scale
"Turkay, C.",Geography
"Turkay, C.",Multivariate
"Turkay, C.",Sensitivity Analysis
"Turkay, C.",Variable Selection
"Turkay, C.",Local Statistics
"Turkay, C.",Geodemographics
"Turkay, C.",Energy
"Quinan, P.S.",Design study
"Quinan, P.S.",weather
"Quinan, P.S.",geographic/geospatial visualization
"Quinan, P.S.",ensemble data
"Meyer, M.",Design study
"Meyer, M.",weather
"Meyer, M.",geographic/geospatial visualization
"Meyer, M.",ensemble data
"Wongsuphasawat, K.",User interfaces
"Wongsuphasawat, K.",information visualization
"Wongsuphasawat, K.",exploratory analysis
"Wongsuphasawat, K.",visualization recommendation
"Wongsuphasawat, K.",mixed-initiative systems
"Moritz, D.",User interfaces
"Moritz, D.",information visualization
"Moritz, D.",exploratory analysis
"Moritz, D.",visualization recommendation
"Moritz, D.",mixed-initiative systems
"Anand, A.",User interfaces
"Anand, A.",information visualization
"Anand, A.",exploratory analysis
"Anand, A.",visualization recommendation
"Anand, A.",mixed-initiative systems
"Mackinlay, J.",User interfaces
"Mackinlay, J.",information visualization
"Mackinlay, J.",exploratory analysis
"Mackinlay, J.",visualization recommendation
"Mackinlay, J.",mixed-initiative systems
"Howe, B.",User interfaces
"Howe, B.",information visualization
"Howe, B.",exploratory analysis
"Howe, B.",visualization recommendation
"Howe, B.",mixed-initiative systems
"Heer, J.",User interfaces
"Heer, J.",information visualization
"Heer, J.",exploratory analysis
"Heer, J.",visualization recommendation
"Heer, J.",mixed-initiative systems
"Laha, B.",Task Taxonomy
"Laha, B.",Empirical Evaluation
"Laha, B.",Volume Visualization
"Laha, B.",Scientific Visualization
"Laha, B.",Virtual Reality
"Laha, B.",3D Interaction
"Bowman, D.A.",Task Taxonomy
"Bowman, D.A.",Empirical Evaluation
"Bowman, D.A.",Volume Visualization
"Bowman, D.A.",Scientific Visualization
"Bowman, D.A.",Virtual Reality
"Bowman, D.A.",3D Interaction
"Laidlaw, D.H.",Task Taxonomy
"Laidlaw, D.H.",Empirical Evaluation
"Laidlaw, D.H.",Volume Visualization
"Laidlaw, D.H.",Scientific Visualization
"Laidlaw, D.H.",Virtual Reality
"Laidlaw, D.H.",3D Interaction
"Socha, J.J.",Task Taxonomy
"Socha, J.J.",Empirical Evaluation
"Socha, J.J.",Volume Visualization
"Socha, J.J.",Scientific Visualization
"Socha, J.J.",Virtual Reality
"Socha, J.J.",3D Interaction
"Liao, H.",Weather forecast
"Liao, H.",analog method
"Liao, H.",calibration
"Liao, H.",majority voting
"Liao, H.",visual analytics
"Wu, Y.",Weather forecast
"Wu, Y.",analog method
"Wu, Y.",calibration
"Wu, Y.",majority voting
"Wu, Y.",visual analytics
"Chen, L.",Weather forecast
"Chen, L.",analog method
"Chen, L.",calibration
"Chen, L.",majority voting
"Chen, L.",visual analytics
"Hamill, T.M.",Weather forecast
"Hamill, T.M.",analog method
"Hamill, T.M.",calibration
"Hamill, T.M.",majority voting
"Hamill, T.M.",visual analytics
"Wang, Y.",Weather forecast
"Wang, Y.",analog method
"Wang, Y.",calibration
"Wang, Y.",majority voting
"Wang, Y.",visual analytics
"Dai, K.",Weather forecast
"Dai, K.",analog method
"Dai, K.",calibration
"Dai, K.",majority voting
"Dai, K.",visual analytics
"Zhang, H.",Weather forecast
"Zhang, H.",analog method
"Zhang, H.",calibration
"Zhang, H.",majority voting
"Zhang, H.",visual analytics
"Chen, W.",Weather forecast
"Chen, W.",analog method
"Chen, W.",calibration
"Chen, W.",majority voting
"Chen, W.",visual analytics
"Hermann, M.",Statistical deformation model
"Hermann, M.",stationary velocity fields
"Hermann, M.",image warping
"Hermann, M.",interactive visual analysis
"Schunke, A.C.",Statistical deformation model
"Schunke, A.C.",stationary velocity fields
"Schunke, A.C.",image warping
"Schunke, A.C.",interactive visual analysis
"Schultz, T.",Statistical deformation model
"Schultz, T.",stationary velocity fields
"Schultz, T.",image warping
"Schultz, T.",interactive visual analysis
"Klein, R.",Statistical deformation model
"Klein, R.",stationary velocity fields
"Klein, R.",image warping
"Klein, R.",interactive visual analysis
"Weiss, K.",Multilinear interpolation
"Weiss, K.",adaptive wavelets
"Weiss, K.",multiresolution models
"Weiss, K.",octrees
"Weiss, K.",continuous reconstruction
"Lindstrom, P.",Multilinear interpolation
"Lindstrom, P.",adaptive wavelets
"Lindstrom, P.",multiresolution models
"Lindstrom, P.",octrees
"Lindstrom, P.",continuous reconstruction
"Byska, J.",Protein
"Byska, J.",tunnel
"Byska, J.",molecular dynamics
"Byska, J.",aggregation
"Byska, J.",interaction
"Le Muzic, M.",Protein
"Le Muzic, M.",tunnel
"Le Muzic, M.",molecular dynamics
"Le Muzic, M.",aggregation
"Le Muzic, M.",interaction
"Groller, E.",Protein
"Groller, E.",tunnel
"Groller, E.",molecular dynamics
"Groller, E.",aggregation
"Groller, E.",interaction
"Viola, I.",Protein
"Viola, I.",tunnel
"Viola, I.",molecular dynamics
